13, 5, 0, 1010, 201, 70, 1, 1, 1
14, 5, 0, 424, 816, 656, 1, 1, 1
15, 5, 0, 398, 1198, 682, 1, 1, 1
16, 5, 252, 376, 1227, 704, 1, 1, 1
17, 5, 757, 358, 941, 624, 1, 1, 1
18, 5, 1102, 344, 762, 526, 1, 1, 1
19, 5, 1347, 350, 573, 438, 1, 1, 1
20, 5, 1546, 342, 374, 376, 1, 1, 1
21, 5, 1696, 341, 224, 303, 1, 1, 1
22, 5, 1848, 394, 72, 88, 1, 1, 1
32, 10, 0, 704, 16, 192, 1, 1, 1
33, 10, 0, 469, 575, 489, 1, 1, 1
34, 10, 1, 303, 967, 638, 1, 1, 1
35, 10, 0, 303, 1240, 656, 1, 1, 1
36, 10, 268, 296, 1190, 534, 1, 1, 1
37, 10, 662, 292, 961, 456, 1, 1, 1
38, 10, 944, 288, 811, 390, 1, 1, 1
39, 10, 1169, 286, 703, 348, 1, 1, 1
40, 10, 1351, 281, 569, 309, 1, 1, 1
41, 10, 1498, 282, 422, 280, 1, 1, 1
42, 10, 1621, 279, 299, 241, 1, 1, 1
43, 10, 1726, 284, 194, 222, 1, 1, 1
44, 10, 1822, 290, 98, 196, 1, 1, 1
45, 10, 1904, 345, 16, 97, 1, 1, 1
