18, 7, 1113, 630, 53, 149, 1, 1, 1
19, 7, 1161, 624, 40, 149, 1, 1, 1
20, 7, 1215, 731, 14, 31, 1, 1, 1
24, 7, 1400, 753, 24, 8, 1, 1, 1
25, 7, 1442, 748, 36, 14, 1, 1, 1
26, 7, 1490, 741, 23, 22, 1, 1, 1
27, 7, 1513, 621, 38, 142, 1, 1, 1
21, 6, 1314, 614, 54, 146, 1, 1, 1
22, 6, 1364, 615, 57, 141, 1, 1, 1
23, 6, 1444, 614, 27, 143, 1, 1, 1
24, 6, 1496, 739, 13, 23, 1, 1, 1
27, 6, 1598, 746, 20, 13, 1, 1, 1
28, 6, 1639, 737, 34, 20, 1, 1, 1
29, 6, 1677, 715, 34, 38, 1, 1, 1
30, 6, 1709, 631, 39, 120, 1, 1, 1
